zipcode,numeric_grade
78610,88
78613,98
78617,78
78641,95
78652,92
78653,95
78660,95
78664,95
78681,98
78701,98
78702,95
78703,98
78704,98
78705,95
78712,98
78717,98
78719,78
78721,85
78722,98
78723,92
78724,78
78725,82
78726,98
78727,98
78728,95
78729,98
78730,98
78731,98
78732,98
78733,98
78734,95
78735,98
78736,95
78737,95
78738,98
78739,98
78741,88
78742,85
78744,82
78745,95
78746,98
78747,88
78748,95
78749,98
78750,98
78751,98
78752,88
78753,85
78754,92
78756,98
78757,98
10001,98
10002,92
10003,98
10004,98
10005,95
10006,98
10007,98
10009,95
10010,98
10011,98
10012,98
10013,98
10014,98
10016,98
10017,98
10018,98
10019,98
10020,98
10021,98
10022,98
10023,98
10024,98
10025,98
10026,92
10027,95
10028,98
10029,88
10030,85
10031,88
10032,88
10033,88
10034,85
10035,85
10036,98
10037,85
10038,98
10039,82
10040,85
10044,95
10065,98
10069,95
10075,98
10128,98
10162,98
10280,98
10282,95
10301,88
10302,85
10304,85
10305,88
10306,85
10307,85
10308,85
10309,85
10310,88
10312,85
10314,88
10451,82
10452,78
10453,78
10454,75
10455,75
10456,75
10457,75
10458,78
10459,75
10460,75
10461,85
10462,85
10463,92
10464,92
10465,85
10466,78
10467,78
10468,75
10469,82
10470,85
10471,95
10472,75
10473,78
10474,72
10475,92
11004,92
11005,85
11101,95
11103,95
11104,95
11105,92
11106,95
11109,98
11201,98
11203,78
11204,85
11205,95
11206,88
11207,78
11208,78
11209,95
11210,88
11211,95
11212,75
11213,85
11214,85
11215,98
11216,92
11217,98
11218,92
11219,82
11220,85
11221,85
11222,95
11223,88
11224,88
11225,88
11226,85
11228,88
11229,92
11230,88
11231,98
11232,88
11233,82
11234,88
11235,92
11236,78
11237,88
11238,98
11239,82
11354,82
11355,82
11356,82
11357,88
11358,88
11360,95
11361,92
11362,92
11363,93
11364,88
11365,88
11366,92
11367,92
11368,75
11369,75
11370,82
11372,88
11373,82
11374,95
11375,98
11377,85
11378,85
11379,85
11385,85
11411,82
11412,78
11413,78
11414,82
11415,95
11416,82
11417,85
11418,85
11419,82
11420,82
11422,78
11423,85
11426,88
11427,88
11428,82
11429,82
11430,75
11432,88
11433,78
11434,78
11435,85
11436,78
11691,82
11692,82
11693,88
11694,88
11697,92